,RDA1,RDA2,PC1,PC2,PC3,PC4,,,,,,,,,,
sit1,-0.43972749,-0.320935324,-0.116992074,-0.008060329,0.382312836,0.157950551,,,,,,,,,,
sit2,0.165328216,0.097391244,0.24883627,0.169094646,0.038207216,0.218210495,,,,,,,,,,
sit3,-0.318225165,-0.776289646,-0.165625859,-0.236582053,0.552588819,0.491384598,,,,,,,,,,
sit4,-0.400744738,-0.25967889,-0.094573355,0.102925506,0.236876114,-0.205479021,,,,,,,,,,
sit5,0.034816877,-0.318065301,0.157363213,-0.025292613,0.130363284,-0.005781117,,,,,,,,,,
sit6,-0.121515988,-0.907160648,0.017749573,-0.434125837,0.326454307,-0.038556888,,,,,,,,,,
sit7,-0.34753861,-0.019639423,-0.230510983,0.174778344,0.245431384,0.007476301,,,,,,,,,,
sit8,-0.236481702,-0.334893163,-0.052659924,0.056728949,0.194331146,-0.034336154,,,,,,,,,,
sit9,-0.529951068,-0.333257004,-0.447687386,-0.116401159,-0.247700401,0.19841677,,,,,,,,,,
sit10,0.06993937,-0.268957173,0.34000015,-0.325772833,0.007072041,-0.278254381,,Add,,,Blob,,,Add_Blob,Add_RDA,Blob_RDA
sit11,0.20269274,0.388319166,-0.03982205,0.339610401,0.004545305,0.269321328,,0.202072539,0.388601036,,0.1998769,0.38800076,,0.000988505,0.0003,0.0011
sit12,0.359838536,0.46599911,0.142140404,0.066311463,-0.010195386,-0.022551493,,0.357512953,0.461139896,,0.35748136,0.45657078,,0.001626597,0.0025,0.0042
sit13,-0.348004975,-0.318984113,-0.160646142,-0.081245274,0.274336008,-0.465352113,,-0.347150259,-0.32642487,,-0.3471503,-0.3264249,,2.49136E-08,0.0029,0.0029
sit14,0.592914323,-0.075365269,0.46424165,-0.183854487,-0.075464146,-0.155205301,,0.595854922,-0.077720207,,0.59585492,-0.0777202,,3.37066E-09,0.0019,0.0019
sit15,-0.797702626,0.493311614,0.143285868,-0.145226943,-0.068233492,0.302725775,,-0.803108808,0.492227979,,-0.8009289,0.49312851,,0.0010891,0.0023,0.0012
sit16,-0.270687391,0.868795854,-0.203561735,0.18867418,0.120355841,0.472178275,,-0.274611399,0.865284974,,-0.2764443,0.87025829,,0.002406361,0.0026,0.0026
sit17,0.645814045,0.250581278,0.14324528,-0.169725298,0.115653946,-0.033442736,,0.647668394,0.25388601,,0.64343963,0.24933176,,0.003105264,0.0018,0.0013
sit18,-0.260952418,0.336802187,-0.11924478,0.057203438,0.128063781,-0.507729717,,-0.264248705,0.336787565,,-0.2669474,0.33763912,,0.001255203,0.0012,0.0024
sit19,-0.740119176,0.172166063,-0.216134809,0.2218589,0.130860213,-0.267374428,,-0.740932642,0.170984456,,-0.7416524,0.17474853,,0.001585274,0.0007,0.0015
sit20,-1.02968289,-0.005656498,-0.108319952,-0.012188265,0.152652216,-0.139509837,,-1.031088083,-0.005181347,,-1.0334419,-0.0060976,,0.001156144,0.0007,0.0015
sit21,0.710566806,-0.31656127,0.409432287,-0.178981626,0.006320844,0.21228287,,,,,,,,,,
sit22,-0.368535677,-0.328414824,-0.228311241,-0.019764563,0.319906132,-0.350113717,,,,,,,,,,
sit23,-0.128501357,-0.648098266,-0.579703257,-0.79986908,-0.921532345,0.159119702,,,,,,,,,,
sit24,0.095779438,0.178202576,-0.272478029,0.612950764,-0.301448055,-0.040689223,,,,,,,,,,
sit25,0.301138106,-0.369328979,0.001993508,-0.125037116,-0.300801366,0.279740499,,,,,,,,,,
sit26,0.342287721,0.325460925,0.162113895,0.448104909,-0.287907049,0.099344832,,,,,,,,,,
sit27,0.652767899,-0.131573416,0.348594581,-0.017514065,-0.157380974,0.211444339,,,,,,,,,,
sit28,-0.27013445,-0.053832986,-0.242962743,0.259053429,-0.137512076,-0.129291834,,,,,,,,,,
sit29,0.338451779,0.524051516,0.109190834,0.529012203,-0.412088396,-0.041586907,,,,,,,,,,
sit30,0.397968781,-0.132689348,0.039545636,0.01166302,-0.197857192,0.084755977,,,,,,,,,,
sit31,0.139458894,0.240475454,0.503661105,0.015112894,-0.306366328,-0.542752962,,,,,,,,,,
sit32,-0.384007375,-0.266166575,-0.48405695,-0.158572657,-0.309159377,-0.48161255,,,,,,,,,,
sit33,0.28418228,0.27395659,0.064134201,0.224414661,0.026430414,0.123610834,,,,,,,,,,
sit34,0.625033145,-0.149291115,0.289262415,-0.26449417,0.018036933,0.296208185,,,,,,,,,,
sit35,-0.06553064,0.686109826,-0.055400266,0.001925646,0.074962743,-0.002364892,,,,,,,,,,
sit36,0.184736958,0.54562822,0.036007998,0.325465611,-0.120705612,-0.064898105,,,,,,,,,,
sit37,-0.439858608,-0.084522045,-0.489650354,-0.129615947,0.368210275,0.067475924,,,,,,,,,,
sit38,0.380261593,0.606253266,0.209002093,0.121479727,-0.102107158,0.180842036,,,,,,,,,,
sit39,0.417263758,0.058037505,0.101174128,-0.104128532,0.073407552,0.384373663,,,,,,,,,,
sit40,0.556661078,-0.092181119,0.3773668,-0.389915841,0.029080001,-0.409979576,,,,,,,,,,