Sample,Location,Effluent,Site,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,Nit.surf,Nit.deep,Car.surf,Car.deep,Flu,Chl,Bro,SO4,Ni,Cond,pH,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep,SEMAVS.surf,SEMAVS.deep,SEMAVSfOC.surf,SEMAVSfOC.deep,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE,TOT_AB,REL_EPH
BR1,Birchtree,Reference,1,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,19,0,14,0,0,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,42,8,1,0,0,0,0,2,0,3,4,0,0,0,1,0,0,1,0,109,0.13
BR2,Birchtree,Reference,2,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,1,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,64,0.22
BR3,Birchtree,Reference,3,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,17,0,17,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,73,0.23
BR4,Birchtree,Reference,4,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,10,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,55,0.11
BR5,Birchtree,Reference,5,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,4,0,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60,0.23
BR6,Birchtree,Reference,6,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,6,0,16,1,3,4,1,1,0,0,0,0,0,0,1,2,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.33
BR7,Birchtree,Reference,7,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,26,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107,0.08
BR8,Birchtree,Reference,8,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,17,0,16,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0.16
BR9,Birchtree,Reference,9,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,27,17,9,0,0,4,0,0,0,3,1,0,0,0,0,0,3,0,0,0,47,7,0,1,0,0,0,5,0,0,1,1,0,0,0,1,0,3,2,132,0.07
BR10,Birchtree,Reference,10,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,37,0.43
BE1,Birchtree,Exposure,1,0.389,1.65,9498.482,7960.51,774.9,358.8,166.94,149.57,31556.83,30376.92,953.75,600.29,219.34,242.07,2768.58,2464.55,340.47,207.29,37.69,39.3,11364.55,7988.586,606.27,255.086,151.74,145.798,0.207,0.214,4.595,4.388,1.489,841.732,25.503,445.656,8.2,365,8.31,8595.97,5510.98,114.05,105.35,0.301,0.262,0.812,0.598,0.761,0.618,0.088,0.081,0.172,0.162,0.272,0.181,0.52,0.435,0.636,0.425,2.455436872,0.898475038,53.43714628,20.47573014,2,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,5,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,1,124,0.06
BE2,Birchtree,Exposure,2,5.414,5.404,7223.854,6205.655,242.62,232.74,227.12,208.87,27454.75,26452.19,467.72,449.21,378.99,419.13,2193.17,1560.56,128.4,103.23,63.53,61.87,7271.99,10834.25,213.84,357.73,169.73,275.29,0.132,0.12,3.857,4.178,2.978,545.679,18.224,292.046,3.4,284.3,8.48,5078.82,9273.69,106.2,213.42,0.263,0.235,0.519,0.518,0.599,0.498,0.08,0.059,0.168,0.148,0.185,0.351,0.28,0.509,0.457,0.796,-1.544175498,-1.850131368,-40.03566239,-44.28270388,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,58,0.14
BE3,Birchtree,Exposure,3,0.044,1.051,9345.961,6360.38,1084.66,401.43,129.49,28.09,28701.1,34534.85,743.71,694.77,152.74,98.62,3799.72,1227.48,856.82,159.58,82.11,19.4,7559.13,5486.89,517.13,186.13,92.58,31.76,0.3,0.21,8.902,6.526,3.722,409.701,25.503,243.752,3.1,260.4,8.23,3759.41,4259.41,10.47,12.36,0.326,0.184,1.458,0.578,0.848,0.285,0.132,0.036,0.538,0.197,0.131,0.123,0.069,0.125,0.695,0.268,2.162338388,-0.572383541,24.29047841,-8.770817356,11,0,10,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,67,0.15
BE4,Birchtree,Exposure,4,0.178,0.159,8733.635,7340.73,329.39,366.42,29.21,24.39,36634.55,36634.27,710.55,641.63,64.71,59.04,3053.57,3909.7,282.76,320.31,8.45,9.2,12819.659,14007.25,382.396,950.82,25.486,210.22,0.095,0.049,1.51,0.53,2.978,237.69,21.864,166.772,2.6,225,8.16,9758.68,10097.55,17.03,201.02,0.238,0.2,0.464,0.571,0.451,0.413,0.083,0.107,0.131,0.156,0.266,0.276,0.263,3.405,0.538,1.482,0.319699778,0.256573352,21.17217076,48.41006632,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.43
BE5,Birchtree,Exposure,5,0.027,0.132,7614.708,9677.06,818.54,236.56,148.15,250.22,33296.28,33298.28,568.14,476.19,330.96,371.75,4972.45,4533.94,784.57,97.83,77.22,58.03,11733.15,15875.63,197.61,266.71,224.89,311.34,0.237,0.175,3.586,4.125,2.978,24851.734,865.622,12972.82,28,7255,8.54,6760.7,11341.69,147.67,253.31,0.229,0.291,1.441,0.497,0.448,0.673,0.149,0.136,0.233,0.156,0.203,0.341,0.446,0.681,0.348,0.56,2.497280116,4.131417959,69.63971321,100.1555869,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,26,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,57,0.04
BE6,Birchtree,Exposure,6,0.324,7.588,9874.861,9192.95,455.2,251.96,209.69,257.86,34963.22,31218.91,534.64,427.38,355.9,335.51,4140.54,2696.34,292.24,113.12,53.02,56.2,10761.43,13266.18,390.18,296.89,165.92,243.68,0.307,0.196,4.126,4.881,1.489,8124.948,43.674,3764.942,16,1698,8.58,6620.89,10569.84,112.9,187.48,0.282,0.294,0.851,0.59,0.589,0.769,0.118,0.086,0.149,0.168,0.189,0.339,0.317,0.559,0.73,0.695,3.248840348,-3.194406543,78.74067735,-65.44573946,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,63,3,0,0,0,0,1,13,0,0,7,0,0,0,0,0,0,0,0,96,0.01
BE7,Birchtree,Exposure,7,0.127,0.457,9354.883,8089.29,841.57,490.84,75.02,66.3,27956.23,30501.51,890.35,610.73,110.08,161.96,3799.27,3394.84,562.78,414.39,35.61,29.84,8149.85,13433.71,546.14,683.55,45.54,84.28,0.245,0.313,7.347,8.827,2.978,525.159,29.14,300.986,3,254.7,8.62,4350.58,10038.87,9.93,54.44,0.335,0.265,0.945,0.804,0.682,0.409,0.136,0.111,0.323,0.184,0.156,0.329,0.09,0.336,0.613,1.119,1.151241608,0.670664338,15.66954687,7.597874001,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,62,0.23
BE8,Birchtree,Exposure,8,0.054,0.602,7593.568,9621.84,607.8,318.16,145.82,222.82,32554.13,33155.56,830.93,483.32,249.09,355.07,3327.46,3384.35,425.32,172.88,51.32,52.38,11100.17,12541.42,512.42,293.46,160.3,212.68,0.23,0.189,3.561,3.648,2.978,1274.236,54.559,664.789,4.2,1058,8.44,7772.71,9157.07,108.98,160.3,0.233,0.29,0.731,0.658,0.585,0.628,0.102,0.102,0.206,0.148,0.239,0.276,0.438,0.451,0.617,0.607,2.430579997,3.194558187,68.2555461,87.57012574,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,60,0.07
BE9,Birchtree,Exposure,9,0.028,0.077,7058.253,10143.03,704.21,307.83,117.96,263.58,34194.93,33734.65,1184.45,458.82,284.61,358.52,5186.88,4107.16,737.71,123.99,78.13,66.38,16533.62,14793.36,899.52,298.29,227.11,294.32,0.257,0.196,3.573,3.541,2.978,3646.32,123.185,1885.501,7.2,2344,8.26,11346.74,10686.2,148.98,227.94,0.206,0.301,0.595,0.671,0.414,0.735,0.152,0.122,0.275,0.185,0.332,0.317,0.523,0.636,0.759,0.65,1.981882433,4.414054694,55.46830207,124.6555971,13,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,61,0.02
