Sample,Location,Effluent,Site,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,Nit.surf,Nit.deep,Car.surf,Car.deep,Flu,Chl,Bro,SO4,Ni,Cond,pH,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep,SEMAVS.surf,SEMAVS.deep,SEMAVSfOC.surf,SEMAVSfOC.deep,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE,TOT_AB,REL_EPH
BE10,Birchtree,Exposure,10,0.073,1.509,9934.197,8501.02,445.79,254.78,174.91,222.89,34141.4,31906.15,1261.66,467.84,219.78,467.91,4053.82,2493.83,275.88,116.04,50.13,45.54,14487.31,9919.55,441.43,217.99,195.92,186.33,0.318,0.214,3.777,3.66,2.233,10184.732,301.29,5296.742,14,4669,8.2,10433.49,7425.72,145.79,140.79,0.291,0.266,0.353,0.545,0.796,0.476,0.119,0.078,0.228,0.097,0.306,0.233,0.663,0.301,0.35,0.466,2.907235134,2.288750895,76.97207132,62.53417745,41,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,38,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,98,0.03
WR1,Weir,Reference,1,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.42
WR2,Weir,Reference,2,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,12,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,0.15
WR3,Weir,Reference,3,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,10,84,11,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0.08
WR4,Weir,Reference,4,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,2,0,0,0,6,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,64,5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,95,0
WR5,Weir,Reference,5,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,2,2,12,0,0,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.22
WR6,Weir,Reference,6,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,5,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,86,0.06
WR7,Weir,Reference,7,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,11,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,41,0.27
WR8,Weir,Reference,8,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,7,1,3,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,2,35,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0.05
WR9,Weir,Reference,9,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,0,0,2,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,42,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,58,0.03
WR10,Weir,Reference,10,0.045,0.139,7290.658,9705.465,539.053,425.15,16.338,20.855,33642.068,34682.495,796.268,673.708,43.153,43.66,4913.323,3192.805,546.298,290.635,8.785,6.258,13737.488,10671.153,624.458,426.359,20.413,15.363,0.27325,0.244,4.45425,5.38075,0.074,1.13425,0.2645,2.04925,3.3,152.725,8.1225,8824.165,7478.3475,11.6275,9.1775,0.21575,0.2805,0.6655,0.63575,0.373,0.47975,0.14775,0.093,0.2075,0.144,0.26275,0.21625,0.27,0.211,0.77525,0.6435,0.233369399,0.216091625,5.239252366,4.016013111,1,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,61,0.18
WE1,Weir,Exposure,1,0.033,0.652,5713.538,5236.97,276.03,327.39,480.58,301.2,28277.63,22861.96,457.16,491.64,541.99,338.9,1479.02,1252.95,123.25,155.35,265.5,158.31,8380.36,6482.47,286.55,299.82,535.19,337.74,0.279,0.184,5.414,5.153,2.978,3111.689,29.14,10018.123,160,1790,8.17,6901.34,5229.52,269.69,179.43,0.202,0.229,0.604,0.666,0.887,0.889,0.052,0.055,0.49,0.467,0.244,0.229,0.498,0.529,0.627,0.61,8.155447776,4.480049753,150.6362722,86.94061232,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,42,0.21
WE2,Weir,Exposure,2,6.333,2.811,4878.794,6471.36,372.44,338.21,227.68,249.7,24815.13,25365.21,697.31,507.85,324.75,307.51,1589.92,1124.7,224.52,115.37,102.41,54.27,8250.96,7666.95,431.88,316.49,283.56,261.87,0.164,0.2,4.214,4.878,2.978,1737.833,18.224,5650.417,61,1640,8.44,6661.04,6542.25,181.15,207.6,0.197,0.255,0.534,0.666,0.701,0.812,0.064,0.044,0.315,0.176,0.268,0.258,0.558,0.675,0.619,0.623,-2.453633839,1.443557846,-58.22576741,29.59323178,18,12,4,0,7,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,20,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,122,0.03
WE3,Weir,Exposure,3,0.018,0.41,7709.209,7288.11,451.21,222.75,240.86,205.65,29860.52,26911.46,654.14,366.17,264.23,253.95,3511.99,2026.34,379.82,140.44,112.79,77,11037.12,6747.66,447.07,157.7,243.22,133.74,0.249,0.253,5.128,4.798,2.233,1014.575,14.582,3299.487,34,912.5,8.34,7525.13,4721.32,130.43,56.74,0.258,0.271,0.69,0.608,0.912,0.81,0.118,0.075,0.427,0.303,0.252,0.175,0.494,0.223,0.683,0.431,4.085935935,3.094004089,79.67893788,64.4852874,2,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,7,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,144,0.1
WE4,Weir,Exposure,4,0.052,0.061,7189.143,8516.49,478.16,426.75,67.56,75.7,33430.56,39130.32,768.62,634.75,104.37,106.69,2767.79,1998.46,282.97,211.54,30.42,19.32,14704.59,11020.46,529.15,313.55,79.78,58.88,0.156,0.149,3.345,4.284,3.722,571.327,3.648,1848.753,18,527.3,8.37,11936.8,9022,49.36,39.56,0.215,0.218,0.622,0.672,0.647,0.71,0.083,0.051,0.291,0.181,0.357,0.231,0.473,0.371,0.688,0.494,1.099133072,1.228827909,32.85898571,28.68412487,0,0,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.3
WE5,Weir,Exposure,5,0.487,1.349,5234.979,6185.76,365.98,293.82,245.82,239.06,24162.95,24377.31,510.72,499.25,337.13,341.28,1525.62,1195.86,154.14,108.09,86.34,66.46,5827.02,6106.25,309.12,267.71,204.56,175.61,0.185,0.206,5.133,5.293,0.185,156.998,0.925,504.819,120,1785,8.7,4301.4,4910.39,118.22,109.15,0.217,0.254,0.717,0.589,0.729,0.7,0.063,0.049,0.256,0.195,0.178,0.201,0.351,0.32,0.605,0.536,3.701447776,2.724266315,72.11080804,51.46922945,1,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,36,6,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,59,0.07
WE6,Weir,Exposure,6,0.554,7.157,6373.126,9586.947,381.02,327.04,247.96,245.61,33260.4,32466.39,605.31,556.35,368.01,397.99,2436.22,2612.23,192.32,181.61,97.1,85.74,11182.94,9927.99,394.85,298.96,277.21,188.09,0.274,0.342,5.516,6.808,1.489,2271.801,21.864,7469.97,98,1510,8.4,8746.72,7315.76,180.11,102.35,0.192,0.295,0.629,0.588,0.674,0.617,0.073,0.08,0.264,0.215,0.263,0.225,0.489,0.257,0.652,0.537,3.670910547,-2.972130346,66.55022746,-43.65643869,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,207,0.03
WE7,Weir,Exposure,7,0.377,3.78,9142.472,8033.23,775.83,400.11,290.29,200.37,28315.47,28457.77,685.5,565.54,249.37,322.47,2951.73,2211.42,394.76,240.3,135.42,68.16,8568.14,9685.86,524.32,431.02,202.55,188.18,0.286,0.354,6,9.013,2.978,853.259,40.043,2774.11,25,616,8.52,5616.41,7474.44,67.13,120.02,0.323,0.282,1.132,0.707,1.164,0.621,0.104,0.078,0.543,0.211,0.198,0.263,0.269,0.372,0.765,0.762,4.569157778,-0.365960129,76.15262964,-4.060358698,21,1,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,85,0.09
WE8,Weir,Exposure,8,0.019,0.248,6800.631,7784.01,531.83,334.37,277.64,300.98,30724.16,28993.24,840.56,573.22,317.22,375.42,2599.98,2280.47,322.4,177.42,118.9,96.97,10514.76,9474.5,558.3,305.55,318.81,292.77,0.245,0.265,4.392,5.471,2.233,1839.879,29.14,6010.77,67,1145,8.44,7914.78,7194.03,199.91,195.8,0.221,0.268,0.633,0.583,0.875,0.802,0.085,0.079,0.375,0.258,0.258,0.248,0.63,0.522,0.664,0.533,4.711618504,4.880301244,107.2772883,89.20309347,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,11,0,0,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,143,0.11
WE9,Weir,Exposure,9,0.053,0.186,7584.594,7244.25,642.86,369.38,162.32,132.17,29339.77,23940.89,896.62,528.45,172.61,200.68,3356,2478.24,485.59,275.63,90.03,52.07,11337.78,6604.67,632.97,264.53,182.61,77.63,0.296,0.224,5.546,5.489,1.489,780.246,21.864,2597.583,28,601,8.39,7981.78,4126.43,92.58,25.56,0.259,0.303,0.717,0.699,0.94,0.659,0.114,0.104,0.522,0.259,0.272,0.172,0.536,0.127,0.706,0.501,2.71271818,2.066002045,48.9130577,37.63895144,1,0,23,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,0,68,3,0,0,0,1,0,5,0,3,0,0,0,0,0,1,0,0,0,114,0.2
WE10,Weir,Exposure,10,0.011,0.04,3506.465,5010.25,590.88,436.71,37.15,46.82,21104.47,20997.3,711.3,559.98,58.33,67.31,1857.96,1280.14,502.61,199.23,28.4,15.1,6343.16,8390.7,573.84,390.88,37.6,43.28,0.097,0.101,4.189,4.412,7.446,518.747,32.776,1612.082,18,384.5,8.44,4485.2,7110.56,9.2,28.18,0.166,0.239,0.831,0.78,0.637,0.696,0.088,0.061,0.487,0.224,0.213,0.339,0.158,0.419,0.807,0.698,0.62198688,0.757750895,14.84809931,17.17477095,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0.43