Sample,Location,Effluent,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,N.surf,N.deep,C.surf,C.deep,Fl,Cl,Br,NO3N,SO4,PO4P,Ni,Cond,pH,Hardness,dw.ww.surf,dw.ww.deep,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep
BR1,Birchtree,Reference,0.022,0.466,9398.11,9969.61,815.6,484.85,30.14,35.03,37673.81,31805.95,1119.22,639.04,68.2,67.49,5451.84,2981.57,731.65,297.62,16.63,10.12,13818.11,12746.72,762.02,638.47,37.83,43.54,0.214,0.214,4.906,4.893,0.072,2.098,0.322,0.02,4.207,NA,3,173.6,8.03,,0.351,0.438,8366.27,9765.147,21.2,33.415,0.249,0.313,0.729,0.759,0.442,0.519,0.145,0.094,0.244,0.15,0.222,0.307,0.311,0.495,0.681,0.999
BR2,Birchtree,Reference,0.007,1.039,9961.33,9645.67,869.16,466.6,48.51,43.37,27732.31,27755.25,841.39,693.01,79.03,74.71,5368.4,3344.22,847.24,406.68,30.21,21.51,8301.31,10688.85,368.27,795.5,31.68,36.05,0.3,0.386,8.311,14.586,0.074,2.175,0.24,0.095,4.29,NA,2.3,174.5,7.86,,0.339,0.369,2932.91,7344.63,1.47,14.54,0.321,0.348,1.033,0.673,0.614,0.581,0.194,0.12,0.382,0.288,0.106,0.265,0.019,0.195,0.438,1.148
BR3,Birchtree,Reference,0.037,0.296,8906.02,11781.93,837.02,364.22,38.23,61.94,31329.62,27916.05,1430.17,754.92,87.08,87.76,5066.34,2355.64,734.75,325.02,20.02,11.87,10193.8,9114.87,491.32,441.16,38.22,32.6,0.484,0.277,9.245,6.5,0.046,2.062,0.212,NA,4.356,NA,2.5,172.5,8.03,63.53,0.365,0.462,5127.46,6759.23,18.2,20.73,0.242,0.422,0.585,0.482,0.439,0.706,0.162,0.084,0.23,0.135,0.164,0.242,0.209,0.236,0.344,0.584
BR4,Birchtree,Reference,0.19,0.975,7591.69,8072.11,567.56,419.19,33.14,30.35,26253.27,24455.08,773.56,498.23,77.42,54.47,4237.06,3526.58,490.65,371.17,19.58,12.35,9830.58,10740.32,574.5,486.71,33.86,25.96,0.316,0.165,8.28,4.209,0.078,2.043,0.212,NA,4.233,NA,2.4,172.1,8.08,51.54,0.463,0.465,5593.52,7213.74,14.28,13.61,0.362,0.33,0.734,0.841,0.428,0.557,0.161,0.144,0.253,0.227,0.213,0.295,0.184,0.25,0.743,0.977
BE1,Birchtree,Exposure,0.389,1.65,9498.48,7960.51,774.9,358.8,166.94,149.57,31556.83,30376.92,953.75,600.29,219.34,242.07,2768.58,2464.55,340.47,207.29,37.69,39.3,11364.55,7988.59,606.27,255.09,151.74,145.8,0.207,0.214,4.595,4.388,1.489,841.732,25.503,2.215,445.656,17.928,8.2,365,8.31,,0.348,0.459,8595.97,5524.036,114.05,106.498,0.229,0.262,0.812,0.598,0.761,0.618,0.088,0.081,0.172,0.162,0.272,0.182,0.52,0.44,0.636,0.425
BE2,Birchtree,Exposure,5.414,5.404,7223.85,6205.65,242.62,232.61,227.12,208.76,27454.75,26452.19,467.72,449.21,378.99,419.13,2193.17,1560.56,128.4,103.23,63.53,61.87,7271.99,10834.25,213.84,357.73,169.73,275.29,0.132,0.12,3.857,4.178,2.978,545.679,18.224,0.554,292.046,NA,3.4,284.3,8.48,86.3,0.486,0.59,5078.82,9273.69,106.2,213.42,0.34,0.235,0.519,0.518,0.599,0.498,0.08,0.059,0.168,0.148,0.185,0.351,0.28,0.509,0.457,0.796
BE3,Birchtree,Exposure,0.044,1.051,9345.96,6360.38,1084.66,401.43,129.49,28.09,28701.1,34534.85,743.71,694.77,152.74,98.62,3799.72,1227.48,856.82,159.58,82.11,19.4,7559.13,5486.89,517.13,186.13,92.58,31.76,0.3,0.21,8.902,6.526,3.722,409.701,25.503,2.215,243.752,1.795,3.1,260.4,8.23,87.5,0.32,0.516,3759.41,4259.41,10.47,12.36,0.304,0.184,1.458,0.578,0.848,0.285,0.132,0.036,0.538,0.197,0.131,0.123,0.069,0.125,0.695,0.268
BE4,Birchtree,Exposure,0.178,0.159,8733.63,7340.73,329.39,366.42,29.21,24.39,36634.55,36634.27,710.55,641.63,64.71,59.04,3053.57,3909.7,282.76,320.31,8.45,9.2,12819.66,14007.25,382.4,950.82,25.49,210.22,0.095,0.049,1.51,0.53,2.978,237.69,21.864,1.662,166.772,8.97,2.6,225,8.16,,0.596,0.606,9766.089,10097.55,17.036,201.02,0.208,0.2,0.464,0.571,0.451,0.413,0.083,0.107,0.131,0.156,0.267,0.276,0.263,3.405,0.538,1.482
BE5,Birchtree,Exposure,0.027,0.132,7614.71,9677.06,818.54,236.56,148.15,250.22,33296.28,33298.28,568.14,476.19,330.96,371.75,4972.45,4533.94,784.57,97.83,77.22,58.03,11733.15,15875.63,197.61,266.71,224.89,311.34,0.237,0.175,3.586,4.125,2.978,24851.734,865.622,27.666,12972.82,3.59,28,7255,8.54,NA,0.275,0.429,6760.7,11341.69,147.67,253.31,0.297,0.291,1.441,0.497,0.448,0.673,0.149,0.136,0.233,0.156,0.203,0.341,0.446,0.681,0.348,0.56
BE6,Birchtree,Exposure,0.324,7.588,9874.86,9192.95,455.2,251.96,209.69,257.86,34963.22,31218.91,534.64,427.38,355.9,335.51,4140.54,2696.34,292.24,113.12,53.02,56.2,10761.43,13266.18,390.18,296.89,165.92,243.68,0.307,0.196,4.126,4.881,1.489,8124.948,43.674,9.966,3764.942,3.59,16,1698,8.58,75.52,0.372,0.447,6620.89,10569.84,112.9,187.48,0.268,0.294,0.851,0.59,0.589,0.769,0.118,0.086,0.149,0.168,0.189,0.339,0.317,0.559,0.73,0.695
BE7,Birchtree,Exposure,0.127,0.457,9354.88,8089.29,841.57,490.45,75.02,66.3,27956.23,30501.51,890.35,610.73,110.08,161.96,3799.27,3394.84,562.78,414.39,35.61,29.84,8149.85,13433.71,546.14,683.55,45.54,84.28,0.245,0.313,7.347,8.827,2.978,525.159,29.14,2.769,300.986,NA,3,254.7,8.62,86.3,0.349,0.486,4350.58,10038.87,9.93,54.44,0.272,0.265,0.945,0.803,0.682,0.409,0.136,0.111,0.323,0.184,0.156,0.329,0.09,0.336,0.613,1.119
BE8,Birchtree,Exposure,0.054,0.602,7593.57,9621.84,607.8,318.16,145.82,222.82,32554.13,33155.56,830.93,483.32,249.09,355.07,3327.46,3384.35,425.32,172.88,51.32,52.38,11100.17,12541.42,512.42,293.46,160.3,212.68,0.23,0.189,3.561,3.648,2.978,1274.236,54.559,3.877,664.789,NA,4.2,1058,8.44,,0.372,0.365,7772.71,9157.07,108.98,160.3,0.217,0.29,0.731,0.658,0.585,0.628,0.102,0.102,0.206,0.148,0.239,0.276,0.438,0.451,0.617,0.607
BE9,Birchtree,Exposure,0.028,0.077,7058.25,10143.03,704.21,307.83,117.96,263.58,34194.93,33734.65,1184.45,458.82,284.61,358.52,5186.88,4107.16,737.71,123.99,78.13,66.38,16533.62,14793.36,899.52,298.29,227.11,294.32,0.257,0.196,3.573,3.541,2.978,3646.32,123.185,6.645,1885.501,NA,7.2,2344,8.26,200.18,0.366,0.329,11346.74,10686.2,148.98,227.94,0.291,0.301,0.595,0.671,0.414,0.735,0.152,0.122,0.275,0.185,0.332,0.317,0.523,0.636,0.759,0.65
BE10,Birchtree,Exposure,0.073,1.509,9934.2,8501.02,445.79,254.78,174.91,222.89,34141.4,31906.15,1261.66,467.84,219.78,467.91,4053.82,2493.83,275.88,116.04,50.13,45.54,14487.31,9919.55,441.43,217.99,195.92,186.33,0.318,0.214,3.777,3.66,2.233,10184.732,301.29,11.627,5296.742,NA,14,4669,8.2,NA,0.281,0.427,10433.49,7425.72,145.79,140.79,0.227,0.266,0.353,0.545,0.796,0.476,0.119,0.078,0.228,0.097,0.306,0.233,0.663,0.301,0.35,0.466
WR1,Weir,Reference,0.023,0.037,7753.48,7940.15,653.22,317.95,17.81,16.47,32091.94,34578.07,763.29,647.7,39.86,45.34,6617.18,2420.72,759.51,238.13,12.07,5.18,14740.87,9718.36,775.18,315.16,21.45,13.51,0.398,0.242,5.225,6.122,0.076,1.103,0.23,NA,2.321,NA,3.4,134.4,8.09,49.15,0.371,0.515,8123.69,7297.64,9.38,8.33,0.307,0.23,0.856,0.491,0.447,0.363,0.206,0.07,0.303,0.114,0.253,0.211,0.235,0.184,1.016,0.487
WR2,Weir,Reference,0.015,0.081,9866.52,10107.6,787.81,535.95,20.37,24.54,32309.77,32823.87,937.4,614.36,43.61,42.49,5847.01,3958.67,683.86,382.7,10.34,8.68,15772.55,13242.01,784.85,574.37,22.42,21.58,0.226,0.273,3.731,6.14,0.082,1.138,0.23,NA,2.192,NA,4.7,155.9,8.33,59.93,0.383,0.397,9925.54,9283.34,12.08,12.9,0.259,0.308,0.84,0.872,0.467,0.578,0.181,0.121,0.237,0.204,0.307,0.283,0.277,0.304,0.837,0.935
WR3,Weir,Reference,0.051,0.039,8359.91,9784.75,679.57,384.31,17.27,19.96,35576.04,36643.42,781.63,704.95,42.94,44.02,4791.16,2519.66,513.93,207.82,8.64,5.02,14740.32,11068.96,605.55,524.94,24.17,14.52,0.249,0.233,4.834,4.907,0.069,1.138,0.304,NA,1.902,NA,2.5,165.8,8.1,61.13,0.375,0.542,9949.16,8549.3,15.53,9.5,0.161,0.267,0.869,0.545,0.402,0.453,0.135,0.069,0.201,0.114,0.28,0.233,0.362,0.216,0.775,0.745
WR4,Weir,Reference,0.091,0.4,8059.31,10989.36,446.46,462.39,21.1,22.45,34590.52,34684.62,702.75,727.82,46.2,42.79,2397.94,3872.17,227.89,333.89,4.09,6.15,9696.21,8472.03,332.25,290.96,13.61,11.84,0.22,0.228,4.027,4.354,0.069,1.158,0.294,0.042,1.782,NA,2.6,154.8,7.97,,0.489,0.422,7298.27,4599.863,9.52,5.693,0.141,0.317,0.635,0.635,0.457,0.525,0.069,0.112,0.089,0.144,0.211,0.133,0.206,0.133,0.473,0.4
WE1,Weir,Exposure,0.033,0.652,5713.54,5236.97,276.03,327.39,480.58,301.2,28277.63,22861.96,457.16,491.64,541.99,338.9,1479.02,1252.95,123.25,155.35,265.5,158.31,8380.36,6482.47,286.55,299.82,535.19,337.74,0.279,0.184,5.414,5.153,2.978,3111.689,29.14,1.108,10018.123,NA,160,1790,8.17,163.02,0.438,0.536,6901.34,5229.52,269.69,179.43,0.273,0.229,0.604,0.666,0.887,0.889,0.052,0.055,0.49,0.467,0.244,0.229,0.498,0.529,0.627,0.61
WE2,Weir,Exposure,6.333,2.811,4878.79,6471.36,372.44,338.21,227.68,249.7,24815.13,25365.21,697.31,507.85,324.75,307.51,1589.92,1124.7,224.52,115.37,102.41,54.27,8250.96,7666.95,431.88,316.49,283.56,261.87,0.164,0.2,4.214,4.878,2.978,1737.833,18.224,1.108,5650.417,NA,61,1640,8.44,110.28,0.393,0.545,6661.04,6542.25,181.15,207.6,0.29,0.255,0.534,0.666,0.701,0.812,0.064,0.044,0.315,0.176,0.268,0.258,0.558,0.675,0.619,0.623
WE3,Weir,Exposure,0.018,0.41,7709.21,7288.11,451.21,222.75,240.86,205.65,29860.52,26911.46,654.14,366.17,264.23,253.95,3511.99,2026.34,379.82,140.44,112.79,77,11037.12,6747.66,447.07,157.7,243.22,133.74,0.249,0.253,5.128,4.798,2.233,1014.575,14.582,1.108,3299.487,NA,34,912.5,8.34,79.11,0.335,0.435,7525.13,4721.32,130.43,56.74,0.175,0.271,0.69,0.608,0.912,0.81,0.118,0.075,0.427,0.303,0.252,0.175,0.494,0.223,0.683,0.431
WE4,Weir,Exposure,0.052,0.061,7189.14,8516.49,478.16,426.69,67.56,75.7,33430.56,39130.32,768.62,634.75,104.37,106.69,2767.79,1998.46,282.97,211.54,30.42,19.32,14704.59,11020.46,529.15,313.55,79.78,58.88,0.156,0.149,3.345,4.284,3.722,571.327,3.648,1.108,1848.753,NA,18,527.3,8.37,71.92,0.576,0.572,11936.8,9022,49.36,39.56,0.191,0.218,0.622,0.672,0.647,0.71,0.083,0.051,0.291,0.181,0.357,0.231,0.473,0.371,0.688,0.494
WE5,Weir,Exposure,0.487,1.349,5234.98,6185.76,365.98,293.82,245.82,239.06,24162.95,24377.31,510.72,499.25,337.13,341.28,1525.62,1195.86,154.14,108.09,86.34,66.46,5827.02,6106.25,309.12,267.71,204.56,175.61,0.185,0.206,5.133,5.293,0.185,156.998,0.925,0.281,504.819,NA,120,1785,8.7,163.02,0.5,0.49,4301.4,4910.39,118.22,109.15,0.378,0.254,0.717,0.589,0.729,0.7,0.063,0.049,0.256,0.195,0.178,0.201,0.351,0.32,0.605,0.536
WE6,Weir,Exposure,0.554,7.164,6373.13,9586.95,381.02,326.72,247.96,245.33,33260.4,32466.39,605.31,556.35,368.01,397.99,2436.22,2612.23,192.32,181.61,97.1,85.74,11182.94,9927.99,394.85,298.96,277.21,188.09,0.274,0.342,5.516,6.808,1.489,2271.801,21.864,1.108,7469.97,NA,98,1510,8.4,133.05,0.446,0.429,8746.72,7315.76,180.11,102.35,0.204,0.295,0.629,0.587,0.674,0.616,0.073,0.08,0.264,0.215,0.263,0.225,0.489,0.257,0.652,0.537
WE7,Weir,Exposure,0.377,3.78,9142.47,8033.23,775.83,400.11,290.29,200.37,28315.47,28457.77,685.5,565.54,249.37,322.47,2951.73,2211.42,394.76,240.3,135.42,68.16,8568.14,9685.86,524.32,431.02,202.55,188.18,0.286,0.354,6,9.013,2.978,853.259,40.043,1.662,2774.11,NA,25,616,8.52,76.71,0.339,0.441,5616.41,7474.44,67.13,120.02,0.268,0.282,1.132,0.707,1.164,0.621,0.104,0.078,0.543,0.211,0.198,0.263,0.269,0.372,0.765,0.762
WE8,Weir,Exposure,0.019,0.248,6800.63,7784.01,531.83,334.37,277.64,300.98,30724.16,28993.24,840.56,573.22,317.22,375.42,2599.98,2280.47,322.4,177.42,118.9,96.97,10514.76,9474.5,558.3,305.55,318.81,292.77,0.245,0.265,4.392,5.471,2.233,1839.879,29.14,1.662,6010.77,NA,67,1145,8.44,113.87,0.346,0.38,7914.78,7194.03,199.91,195.8,0.114,0.268,0.633,0.583,0.875,0.802,0.085,0.079,0.375,0.258,0.258,0.248,0.63,0.522,0.664,0.533
WE9,Weir,Exposure,0.053,0.186,7584.59,7244.25,642.86,369.38,162.32,132.17,29339.77,23940.89,896.62,528.45,172.61,200.68,3356,2478.24,485.59,275.63,90.03,52.07,11337.78,6604.67,632.97,264.53,182.61,77.63,0.296,0.224,5.546,5.489,1.489,780.246,21.864,1.108,2597.583,NA,28,601,8.39,68.32,0.383,0.479,7981.78,4126.43,92.58,25.56,0,0.303,0.717,0.699,0.94,0.659,0.114,0.104,0.522,0.259,0.272,0.172,0.536,0.127,0.706,0.501
WE10,Weir,Exposure,0.011,0.04,3506.46,5010.25,590.88,436.71,37.15,46.82,21104.47,20997.3,711.3,559.98,58.33,67.31,1857.96,1280.14,502.61,199.23,28.4,15.1,6343.16,8390.7,573.84,390.88,37.6,43.28,0.097,0.101,4.189,4.412,7.446,518.747,32.776,2.215,1612.082,NA,18,384.5,8.44,,0.531,0.628,4485.2,7110.56,9.2,28.18,0,0.239,0.831,0.78,0.637,0.696,0.088,0.061,0.487,0.224,0.213,0.339,0.158,0.419,0.807,0.698