Sample,NCOORD,WCOORD,NDEG,NMIN,NSEC,NDEC,WDEG,WMIN,WSEC,WDEC
BR1," 55¡41'55.50"""," 97¡57'4.92""",55,41,55.50,55.6988,97,57,4.92,-97.95136667
BR2," 55¡41'57.60"""," 97¡57'3.75""",55,41,57.60,55.6993,97,57,3.75,-97.95104167
BR3," 55¡41'57.00"""," 97¡57'3.18""",55,41,57.00,55.6992,97,57,3.18,-97.95088333
BR4," 55¡41'57.72"""," 97¡57'2.46""",55,41,57.72,55.6994,97,57,2.46,-97.95068333
BR5," 55¡41'58.32"""," 97¡57'2.34""",55,41,58.32,55.6995,97,57,2.34,-97.95065
BR6," 55¡41'57.48"""," 97¡57'2.70""",55,41,57.48,55.6993,97,57,2.70,-97.95075
BR7," 55¡41'55.86"""," 97¡57'3.30""",55,41,55.86,55.6989,97,57,3.30,-97.95091667
BR8," 55¡41'57.72"""," 97¡57'4.08""",55,41,57.72,55.6994,97,57,4.08,-97.95113333
BR9," 55¡41'57.12"""," 97¡57'4.38""",55,41,57.12,55.6992,97,57,4.38,-97.95121667
BR10," 55¡41'55.44"""," 97¡57'4.80""",55,41,55.44,55.6987,97,57,4.80,-97.95133333
BE1," 55¡42'18.54"""," 97¡56'23.04""",55,42,18.54,55.7052,97,56,23.04,-97.93973333
BE2," 55¡42'19.44"""," 97¡56'22.38""",55,42,19.44,55.7054,97,56,22.38,-97.93955
BE3," 55¡42'21.18"""," 97¡56'24.06""",55,42,21.28,55.7059,97,56,24.06,-97.94001667
BE4," 55¡42'18.42"""," 97¡56'23.04""",55,42,18.42,55.7051,97,56,23.04,-97.93973333
BE5," 55¡42'19.20"""," 97¡56'21.00""",55,42,19.20,55.7053,97,56,21.00,-97.93916667
BE6," 55¡42'18.48"""," 97¡56'20.22""",55,42,18.48,55.7051,97,56,20.22,-97.93895
BE7," 55¡42'22.50"""," 97¡56'23.94""",55,42,22.50,55.7063,97,56,23.94,-97.93998333
BE8," 55¡42'19.56"""," 97¡56'22.20""",55,42,19.56,55.7054,97,56,22.20,-97.9395
BE9," 55¡42'19.50"""," 97¡56'22.02""",55,42,19.50,55.7054,97,56,22.02,-97.93945
BE10," 55¡42'19.38"""," 97¡56'21.35""",55,42,19.38,55.7054,97,56,21.35,-97.93926389
WR1," 55¡49'48.12"""," 97¡41'4.80""",55,49,48.12,55.8300,97,41,4.80,-97.68466667
WR2," 55¡49'49.50"""," 97¡41'4.00""",55,49,49.50,55.8304,97,41,4.00,-97.68444444
WR3," 55¡49'50.04"""," 97¡41'6.54""",55,49,50.04,55.8306,97,41,6.54,-97.68515
WR4," 55¡49'51.06"""," 97¡41'8.22""",55,49,51.06,55.8309,97,41,8.22,-97.68561667
WR5," 55¡49'48.60"""," 97¡41'4.86""",55,49,48.60,55.8302,97,41,4.86,-97.68468333
WR6," 55¡49'50.76"""," 97¡41'6.24""",55,49,50.76,55.8308,97,41,6.24,-97.68506667
WR7," 55¡49'47.52"""," 97¡41'3.22""",55,49,47.52,55.8299,97,41,3.22,-97.68422778
WR8," 55¡49'50.28"""," 97¡41'7.68""",55,49,50.28,55.8306,97,41,7.68,-97.68546667
WR9," 55¡49'50.52"""," 97¡41'8.16""",55,49,50.52,55.8307,97,41,8.16,-97.6856
WR10," 55¡49'49.32"""," 97¡41'7.02""",55,49,49.32,55.8304,97,41,7.02,-97.68528333
WE1," 55¡47'39.48"""," 97¡44'8.40""",55,47,39.48,55.7943,97,44,8.40,-97.73566667
WE2," 55¡47'41.16"""," 97¡44'12.96""",55,47,41.16,55.7948,97,44,12.96,-97.73693333
WE3," 55¡47'49.32"""," 97¡44'19.92""",55,47,49.32,55.7970,97,44,19.92,-97.73886667
WE4," 55¡47'57.42"""," 97¡44'32.70""",55,47,57.42,55.7993,97,44,32.70,-97.74241667
WE5," 55¡47'39.72"""," 97¡44'5.40""",55,47,39.72,55.7944,97,44,5.40,-97.73483333
WE6," 55¡47'40.86"""," 97¡44'12.12""",55,47,40.86,55.7947,97,44,12.12,-97.7367
WE7," 55¡47'45.42"""," 97¡44'17.70""",55,47,45.42,55.7960,97,44,17.70,-97.73825
WE8," 55¡47'44.28"""," 97¡44'14.88""",55,47,44.28,55.7956,97,44,14.88,-97.73746667
WE9," 55¡47'54.54"""," 97¡44'28.26""",55,47,54.54,55.7985,97,44,28.26,-97.74118333
WE10," 55¡47'58.98"""," 97¡44'33.60""",55,47,58.98,55.7997,97,44,33.60,-97.74266667